2022-04-18 09:16:19.1547|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:5001 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-04-18 09:16:19.1639|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5000 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-04-18 09:16:19.1639|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-04-18 09:16:19.1639|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-04-18 09:16:19.1639|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\leowa\Desktop\Automarket\Automarket\ |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-04-18 09:17:20.0300|0|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No store type was specified for the decimal property 'Price' on entity type 'Car'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'. |url: https://localhost/Account/Login|action: Login|Microsoft.EntityFrameworkCore.Diagnostics.EventDefinition`2.Log
2022-04-18 09:17:28.5073|0|ERROR|Automarket.Service.Implementations.AccountService|[Login]: Exception of type 'System.Exception' was thrown. System.Exception: Exception of type 'System.Exception' was thrown.
   at Automarket.Service.Implementations.AccountService.Login(LoginViewModel model) in C:\Users\leowa\Desktop\Automarket\Automarket.Service\Implementations\AccountService.cs:line 74|url: https://localhost/Account/Login|action: Login|Automarket.Service.Implementations.AccountService.Login
2022-04-18 09:53:44.6556|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:5001 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-04-18 09:53:44.6694|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5000 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-04-18 09:53:44.6694|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-04-18 09:53:44.6694|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-04-18 09:53:44.6694|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\leowa\Desktop\Automarket\Automarket\ |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-04-18 09:54:24.2484|0|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No store type was specified for the decimal property 'Price' on entity type 'Car'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'. |url: https://localhost/Account/Login|action: Login|Microsoft.EntityFrameworkCore.Diagnostics.EventDefinition`2.Log
2022-04-18 09:54:29.7875|0|ERROR|Automarket.Service.Implementations.AccountService|[Login]: Exception of type 'System.Exception' was thrown. System.Exception: Exception of type 'System.Exception' was thrown.
   at Automarket.Service.Implementations.AccountService.Login(LoginViewModel model) in C:\Users\leowa\Desktop\Automarket\Automarket.Service\Implementations\AccountService.cs:line 74|url: https://localhost/Account/Login|action: Login|Automarket.Service.Implementations.AccountService.Login
2022-04-18 09:54:44.1772|0|ERROR|Automarket.Service.Implementations.AccountService|[Login]: Exception of type 'System.Exception' was thrown. System.Exception: Exception of type 'System.Exception' was thrown.
   at Automarket.Service.Implementations.AccountService.Login(LoginViewModel model) in C:\Users\leowa\Desktop\Automarket\Automarket.Service\Implementations\AccountService.cs:line 74|url: https://localhost/Account/Login|action: Login|Automarket.Service.Implementations.AccountService.Login
2022-04-18 09:55:31.0305|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:5001 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-04-18 09:55:31.0420|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5000 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-04-18 09:55:31.0420|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-04-18 09:55:31.0420|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
